segment_id,start_sec,end_sec,timestamp,reasons,low_confidence_words,average_word_probability,minimum_word_probability,text
140,402.54,404.72,00:06:42.540 --> 00:06:44.720,低信心詞 1 個：人,人,0.8699,0.2978,大概會有超過四萬人的民眾
143,408.12,410.14,00:06:48.120 --> 00:06:50.140,低信心詞 1 個：我們,我們,0.8242,0.4068,擴建我們整個的健康園區
144,412.3,415.84,00:06:52.300 --> 00:06:55.840,低信心詞 1 個：那,那,0.8882,0.3431,那這邊講到我們對外銷這一部分的發展
147,420.12,423.78,00:07:00.120 --> 00:07:03.780,低信心詞 1 個：東西,東西,0.8747,0.4222,在今年會有在不同國家包含東西的部分
149,427.12,429.66,00:07:07.120 --> 00:07:09.660,低信心詞 1 個：二,二,0.901,0.1235,都會有產品在二零二七年上市
152,432.06,434.56,00:07:12.060 --> 00:07:14.560,低信心詞 1 個：義,義,0.9064,0.3488,我們的董事長李義達董事長博士呢
153,435.12,436.02,00:07:15.120 --> 00:07:16.020,低信心詞 1 個：跟,跟,0.8723,0.4338,跟我們的總經理
156,439.96,441.16,00:07:19.960 --> 00:07:21.160,低信心詞 1 個：在,在,0.8366,0.4789,在台的代理權
157,441.16,443.62,00:07:21.160 --> 00:07:23.620,低信心詞 1 個：那,那,0.833,0.4316,那消化道跟便秘用藥
158,443.62,445.88,00:07:23.620 --> 00:07:25.880,低信心詞 1 個：名,名,0.8895,0.1413,名列國人健保用藥的第三名
160,447.74,449.7,00:07:27.740 --> 00:07:29.700,低信心詞 1 個：八,八,0.8805,0.4667,一個年大概有八億元
169,467.4,468.5,00:07:47.400 --> 00:07:48.500,低信心詞 1 個：跟,跟,0.7973,0.3398,跟在台製造
178,482.58,484.36,00:08:02.580 --> 00:08:04.360,低信心詞 1 個：談,談,0.8239,0.1854,多家洽談中的廠商
180,485.68,486.62,00:08:05.680 --> 00:08:06.620,低信心詞 2 個：OD、M,OD、M,0.62,0.1477,ODM也好
181,487.22,487.92,00:08:07.220 --> 00:08:07.920,低信心詞 1 個：訂,訂,0.6796,0.3597,訂單
190,497.76,499.4,00:08:17.760 --> 00:08:19.400,低信心詞 1 個：物,物,0.8884,0.4409,智慧物流中心
191,499.4,500.86,00:08:19.400 --> 00:08:20.860,低信心詞 1 個：那我們,那我們,0.7692,0.0977,那我們目前的規劃呢
204,522.98,524.16,00:08:42.980 --> 00:08:44.160,低信心詞 1 個：抱,抱,0.776,0.342,那抱歉
206,527.48,527.88,00:08:47.480 --> 00:08:47.880,低信心詞 1 個：好,好,0.0006,0.0006,好
207,532.42,534.42,00:08:52.420 --> 00:08:54.420,低信心詞 1 個：那,那,0.8934,0.0407,那除了智慧物流中心之外呢
209,535.26,536.72,00:08:55.260 --> 00:08:56.720,低信心詞 1 個：就,就,0.7888,0.4778,就生產的一個部分
214,545.22,546.56,00:09:05.220 --> 00:09:06.560,低信心詞 1 個：之,之,0.8209,0.359,不菌之際的一個部分
215,546.56,549.0,00:09:06.560 --> 00:09:09.000,低信心詞 1 個：Pe,Pe,0.8782,0.0903,那其實現在隨著Peace的要求
222,559.16,560.78,00:09:19.160 --> 00:09:20.780,低信心詞 2 個：以、幸,以、幸,0.545,0.2049,那順以幸輝
227,567.62,569.36,00:09:27.620 --> 00:09:29.360,低信心詞 1 個：繼續,繼續,0.8395,0.3475,我們決定再繼續擴充
232,578.78,580.74,00:09:38.780 --> 00:09:40.740,低信心詞 1 個：那,那,0.8308,0.2908,那包含我們節能省碳的一個部分
233,583.66,585.68,00:09:43.660 --> 00:09:45.680,低信心詞 1 個：信,信,0.8076,0.2347,那接下來講過了信國新藥
234,585.68,586.78,00:09:45.680 --> 00:09:46.780,低信心詞 3 個：那、信、新,那、信、新,0.5435,0.1679,那信國新藥呢
235,587.62,588.98,00:09:47.620 --> 00:09:48.980,低信心詞 2 個：目前、就是,目前、就是,0.7373,0.317,目前的狀態就是
238,591.82,593.6,00:09:51.820 --> 00:09:53.600,低信心詞 1 個：的,的,0.873,0.4721,合作授權的三大引擎
242,599.32,601.56,00:09:59.320 --> 00:10:01.560,低信心詞 2 個：他、數,他、數,0.8926,0.3471,他陸續推出了全數機能產品
243,601.56,603.66,00:10:01.560 --> 00:10:03.660,低信心詞 2 個：龍、一,龍、一,0.664,0.1904,類似像龍一鳴
244,603.66,604.38,00:10:03.660 --> 00:10:04.380,低信心詞 1 個：新,新,0.5933,0.0739,新台好棉
245,604.38,605.2,00:10:04.380 --> 00:10:05.200,低信心詞 2 個：無、機,無、機,0.5783,0.3276,無機泰順
246,605.2,605.9,00:10:05.200 --> 00:10:05.900,低信心詞 1 個：龍,龍,0.6623,0.3762,龍暢鮮
248,607.96,608.76,00:10:07.960 --> 00:10:08.760,低信心詞 1 個：跟,跟,0.7666,0.2649,跟現金流
250,609.9,611.9,00:10:09.900 --> 00:10:11.900,低信心詞 1 個：原,原,0.8872,0.4297,信國自主開發的魚原泡
252,616.04,617.94,00:10:16.040 --> 00:10:17.940,低信心詞 2 個：與、二,與、二,0.7803,0.1643,與今年二月正式取得
254,619.54,621.38,00:10:19.540 --> 00:10:21.380,低信心詞 1 個：那,那,0.6087,0.0069,那合規
256,624.56,626.68,00:10:24.560 --> 00:10:26.680,低信心詞 1 個：跟,跟,0.8282,0.3702,那目前正在跟醫美專家
258,628.62,632.54,00:10:28.620 --> 00:10:32.540,低信心詞 1 個：性,性,0.7833,0.2428,那藏在抗癌為之體性藥平台方面呢
261,637.3,638.18,00:10:37.300 --> 00:10:38.180,低信心詞 1 個：跟,跟,0.8084,0.4268,跟合作
263,639.28,639.88,00:10:39.280 --> 00:10:39.880,低信心詞 1 個：信,信,0.6066,0.1535,信國呢
264,639.88,641.2,00:10:39.880 --> 00:10:41.200,低信心詞 1 個：八,八,0.8841,0.4753,也在八月十七號
266,642.52,644.36,00:10:42.520 --> 00:10:44.360,低信心詞 1 個：也,也,0.9053,0.4904,這部分也就不在這邊追溯了
267,647.82,649.94,00:10:47.820 --> 00:10:49.940,低信心詞 1 個：那,那,0.8652,0.3882,那接下來提到我們天然資源的部分
271,655.46,656.44,00:10:55.460 --> 00:10:56.440,低信心詞 2 個：在、子,在、子,0.6644,0.1705,在我們子公司
272,656.44,658.48,00:10:56.440 --> 00:10:58.480,低信心詞 1 個：那,那,0.9053,0.4955,那天然資源我們的策略呢
280,675.7,677.9,00:11:15.700 --> 00:11:17.900,低信心詞 2 個：那、十,那、十,0.7912,0.0625,那除了已經銷售十個國家
281,677.9,680.66,00:11:17.900 --> 00:11:20.660,低信心詞 1 個：管,管,0.893,0.415,跟地區的管化肉蟲籠提取原料外
294,705.3,708.2,00:11:45.300 --> 00:11:48.200,低信心詞 1 個：運,運,0.9138,0.3497,肌肉合成跟運動後乳酸的代謝能力
295,708.2,710.08,00:11:48.200 --> 00:11:50.080,低信心詞 1 個：是,是,0.9195,0.4619,是運動營養品類中
303,725.36,727.08,00:12:05.360 --> 00:12:07.080,低信心詞 1 個：那,那,0.8983,0.2474,那相較於胺基酸呢
306,733.64,734.92,00:12:13.640 --> 00:12:14.920,低信心詞 1 個：那,那,0.5558,0.2609,那杏輝呢
310,740.64,741.38,00:12:20.640 --> 00:12:21.380,低信心詞 1 個：易,易,0.7776,0.3358,易吸收
312,743.58,745.64,00:12:23.580 --> 00:12:25.640,低信心詞 1 個：成,成,0.8484,0.2239,那是健康成食品的
313,745.64,747.1,00:12:25.640 --> 00:12:27.100,低信心詞 1 個：者,者,0.8742,0.3501,複方搭配的優選者
320,759.42,763.14,00:12:39.420 --> 00:12:43.140,低信心詞 1 個：產,產,0.8987,0.3785,那為集團打造出高技術避雷的天然產物整合
321,765.04,766.7,00:12:45.040 --> 00:12:46.700,低信心詞 1 個：那,那,0.8218,0.2395,那能夠做到這些呢
322,767.62,770.02,00:12:47.620 --> 00:12:50.020,低信心詞 1 個：的,的,0.8895,0.4551,除了剛剛所報告的這些之外
332,795.92,797.38,00:13:15.920 --> 00:13:17.380,低信心詞 3 個：那、基、於,那、基、於,0.6944,0.2012,那基於以上的報告
335,802.38,804.62,00:13:22.380 --> 00:13:24.620,低信心詞 1 個：從,從,0.9219,0.4,從今年的半年報可以看出來
341,816.34,820.26,00:13:36.340 --> 00:13:40.260,低信心詞 1 個：那,那,0.9535,0.4146,那相較於去年同期成長1.26億元
343,822.6,824.22,00:13:42.600 --> 00:13:44.220,低信心詞 1 個：那,那,0.8122,0.015,那除了營收以外
344,824.22,828.04,00:13:44.220 --> 00:13:48.040,低信心詞 2 個：那我們、毛,那我們、毛,0.8031,0.0857,那我們上半年毛利率45.4%
345,829.02,830.28,00:13:49.020 --> 00:13:50.280,低信心詞 1 個：45.,45.,0.7265,0.2518,45.4%
352,843.98,846.4,00:14:03.980 --> 00:14:06.400,低信心詞 1 個：業,業,0.7947,0.3867,較多的就是我們的農業基跟活芯
353,846.94,849.54,00:14:06.940 --> 00:14:09.540,低信心詞 1 個：新,新,0.8881,0.312,那這兩項是新會投入數十年
355,852.6,855.04,00:14:12.600 --> 00:14:15.040,低信心詞 1 個：並,並,0.8318,0.1352,並且與市面上其他產品有較大的區隔
356,855.04,857.18,00:14:15.040 --> 00:14:17.180,低信心詞 2 個：所以、是,所以、是,0.7947,0.4049,所以當然毛利是較高的
357,857.18,858.32,00:14:17.180 --> 00:14:18.320,低信心詞 1 個：呢,呢,0.7205,0.1656,這兩部分呢
364,875.96,881.36,00:14:35.960 --> 00:14:41.360,低信心詞 1 個：元,元,0.866,0.362,約當的現金的部分提高到了14.76億元
365,881.36,885.18,00:14:41.360 --> 00:14:45.180,低信心詞 3 個：那、為、提,那、為、提,0.8537,0.3532,那為後續大型擴建計畫提供了充足的資源
370,895.04,896.64,00:14:55.040 --> 00:14:56.640,低信心詞 1 個：上,上,0.8522,0.4172,上半年的稅銜淨利率呢
373,899.98,901.7,00:14:59.980 --> 00:15:01.700,低信心詞 1 個：太,太,0.8409,0.3114,也沒有相差太多
379,910.98,911.72,00:15:10.980 --> 00:15:11.720,低信心詞 3 個：還有、費、的,還有、費、的,0.5971,0.0463,還有費用的增長
380,911.72,912.94,00:15:11.720 --> 00:15:12.940,低信心詞 2 個：那、呢,那、呢,0.5797,0.11,那從下面呢
385,920.98,923.32,00:15:20.980 --> 00:15:23.320,低信心詞 1 個：11.,11.,0.9008,0.4156,那11.4年度的配發
393,939.46,941.1,00:15:39.460 --> 00:15:41.100,低信心詞 2 個：我們、發,我們、發,0.7616,0.2262,我們是把永續發展
394,941.1,943.0,00:15:41.100 --> 00:15:43.000,低信心詞 1 個：作,作,0.8679,0.4928,當作我們長期的競爭力
395,943.0,945.04,00:15:43.000 --> 00:15:45.040,低信心詞 1 個：那我們,那我們,0.9183,0.484,那我們這邊有列出兩個例子
396,945.04,948.1,00:15:45.040 --> 00:15:48.100,低信心詞 1 個：呢,呢,0.8693,0.4633,來說明為什麼我們的能源密集度呢
403,961.76,962.8,00:16:01.760 --> 00:16:02.800,低信心詞 1 個：不,不,0.7324,0.1069,不算方式
407,969.46,970.82,00:16:09.460 --> 00:16:10.820,低信心詞 2 個：那、呢,那、呢,0.8048,0.2156,那初期減量目標呢
412,978.38,979.54,00:16:18.380 --> 00:16:19.540,低信心詞 1 個：的,的,0.7775,0.261,用電的佔比較高
415,982.5,984.66,00:16:22.500 --> 00:16:24.660,低信心詞 1 個：I,I,0.8115,0.3509,那我們換了B棟I棟
416,984.66,986.82,00:16:24.660 --> 00:16:26.820,低信心詞 1 個：從,從,0.8711,0.4283,從定頻式改為變頻式
423,998.14,1000.82,00:16:38.140 --> 00:16:40.820,低信心詞 1 個：那,那,0.7756,0.0726,那用電量溫度也可以下降
424,1000.82,1002.12,00:16:40.820 --> 00:16:42.120,低信心詞 1 個：用,用,0.7916,0.2953,用電量也可以下降
426,1003.54,1006.62,00:16:43.540 --> 00:16:46.620,低信心詞 1 個：的,的,0.9007,0.3737,所以就是做了這些點點滴滴的之後
429,1010.06,1013.08,00:16:50.060 --> 00:16:53.080,低信心詞 1 個：低,低,0.7979,0.3459,我們可以降低了12.38%
433,1021.28,1023.02,00:17:01.280 --> 00:17:03.020,低信心詞 1 個：第三,第三,0.793,0.2468,完成第三章確信的審核
436,1026.68,1029.64,00:17:06.680 --> 00:17:09.640,低信心詞 1 個：那,那,0.8369,0.2852,那在扣除掉今年新增的範疇三
437,1029.64,1031.6,00:17:09.640 --> 00:17:11.600,低信心詞 2 個：員、情,員、情,0.8108,0.2479,員工偷情的比較標準後
438,1031.6,1033.3,00:17:11.600 --> 00:17:13.300,低信心詞 1 個：那,那,0.8959,0.2765,那實質排放的密集度
439,1033.3,1035.8,00:17:13.300 --> 00:17:15.800,低信心詞 3 個：了、57、%,了、57、%,0.7644,0.2306,比前一年度下降了4.57%
445,1044.92,1048.06,00:17:24.920 --> 00:17:28.060,低信心詞 1 個：到,到,0.9208,0.4247,必須拉到相同的標準
450,1056.68,1056.8,00:17:36.680 --> 00:17:36.800,低信心詞 1 個：的時候,的時候,0.005,0.005,的時候
451,1057.24,1061.58,00:17:37.240 --> 00:17:41.580,低信心詞 3 個：我們、排、放,我們、排、放,0.7239,0.2034,我們整個的碳排放密集度
452,1061.58,1063.84,00:17:41.580 --> 00:17:43.840,低信心詞 2 個：4.、%,4.、%,0.776,0.1397,會較前一年度下降4.57%
453,1066.22,1069.06,00:17:46.220 --> 00:17:49.060,低信心詞 1 個：那,那,0.9325,0.4258,那除了上面的報告營運發展部分
456,1073.24,1075.28,00:17:53.240 --> 00:17:55.280,低信心詞 1 個：信,信,0.8289,0.2145,我們正式成立一個信輝的學院
458,1077.28,1079.04,00:17:57.280 --> 00:17:59.040,低信心詞 1 個：都有,都有,0.9145,0.3065,都有對應的要求跟條件
462,1085.7,1087.88,00:18:05.700 --> 00:18:07.880,低信心詞 1 個：我們,我們,0.7556,0.1929,我們所有的晉升跟調薪
472,1103.8,1106.4,00:18:23.800 --> 00:18:26.400,低信心詞 1 個：進,進,0.9216,0.384,他就會進行兩次的調整
476,1112.98,1115.68,00:18:32.980 --> 00:18:35.680,低信心詞 1 個：安,安,0.9202,0.306,同仁們的一個培訓跟課程的一個安排
477,1115.7,1117.92,00:18:35.700 --> 00:18:37.920,低信心詞 2 個：會、一個,會、一個,0.6882,0.0503,會去做一個依歸的一個動作
483,1130.58,1132.28,00:18:50.580 --> 00:18:52.280,低信心詞 1 個：人,人,0.8746,0.3653,人次達到400人
491,1150.94,1153.14,00:19:10.940 --> 00:19:13.140,低信心詞 1 個：推,推,0.8938,0.4559,我們也致力於對運動的推廣
496,1162.9,1164.76,00:19:22.900 --> 00:19:24.760,低信心詞 1 個：信,信,0.7567,0.1875,我們的信惠依賴馬拉松之外
499,1167.34,1169.3,00:19:27.340 --> 00:19:29.300,低信心詞 1 個：友,友,0.8541,0.3151,還有我們金門海上長友
502,1175.18,1178.68,00:19:35.180 --> 00:19:38.680,低信心詞 3 個：樂、至、失,樂、至、失,0.697,0.0252,樂至宜蘭縣失智症照護協會的一個部分
503,1178.68,1179.86,00:19:38.680 --> 00:19:39.860,低信心詞 2 個：我們、也,我們、也,0.8019,0.2282,我們也會進行一個捐贈
504,1179.86,1181.44,00:19:39.860 --> 00:19:41.440,低信心詞 1 個：那,那,0.8575,0.1661,那除了這個捐贈之外
506,1184.3,1187.52,00:19:44.300 --> 00:19:47.520,低信心詞 1 個：都,都,0.9385,0.4388,都會進行一個健康講座的一個宣導跟關懷
507,1187.52,1189.72,00:19:47.520 --> 00:19:49.720,低信心詞 2 個：進、允,進、允,0.8134,0.4668,進行一些允髮族的一些慰教
518,1208.2,1210.38,00:20:08.200 --> 00:20:10.380,低信心詞 1 個：物,物,0.8772,0.4813,植物圖譜的技術標準化提取
522,1214.5,1216.1,00:20:14.500 --> 00:20:16.100,低信心詞 1 個：了,了,0.8665,0.2874,整理成了這本書了
526,1221.74,1222.86,00:20:21.740 --> 00:20:22.860,低信心詞 1 個：火,火,0.7926,0.2606,火星鑑定
534,1233.42,1234.76,00:20:33.420 --> 00:20:34.760,低信心詞 2 個：信、號,信、號,0.7613,0.1677,不僅代表信號
535,1234.82,1236.76,00:20:34.820 --> 00:20:36.760,低信心詞 1 個：信,信,0.8816,0.0483,信輝對天然物的研究長期投入
536,1236.76,1238.84,00:20:36.760 --> 00:20:38.840,低信心詞 1 個：也,也,0.8939,0.2316,也體現集團長期以來
538,1243.42,1244.56,00:20:43.420 --> 00:20:44.560,低信心詞 1 個：那,那,0.7424,0.414,那信輝呢
539,1244.56,1247.4,00:20:44.560 --> 00:20:47.400,低信心詞 1 個：一,一,0.8115,0.4079,即將一來創立了50週年
550,1262.56,1264.7,00:21:02.560 --> 00:21:04.700,低信心詞 1 個：更,更,0.9248,0.2483,更回應全球低碳製造的趨勢
551,1264.82,1268.54,00:21:04.820 --> 00:21:08.540,低信心詞 1 個：為,為,0.9129,0.2312,為企業奠定長期的競爭優勢
558,1279.64,1281.58,00:21:19.640 --> 00:21:21.580,低信心詞 1 個：斯,斯,0.8654,0.0922,創辦人李志文耀斯的經營理念
560,1282.44,1283.38,00:21:22.440 --> 00:21:23.380,低信心詞 1 個：呢,呢,0.7645,0.3213,秉持呢
568,1293.7,1294.8,00:21:33.700 --> 00:21:34.800,低信心詞 1 個：部分,部分,0.8181,0.3085,就是這邊的部分
569,1294.82,1295.06,00:21:34.820 --> 00:21:35.060,低信心詞 1 個：報,報,0.5397,0.0799,報告
570,1295.06,1297.54,00:21:35.060 --> 00:21:37.540,低信心詞 1 個：那,那,0.8498,0.2914,那接下來就進行Q&A
576,1312.1,1313.96,00:21:52.100 --> 00:21:53.960,低信心詞 1 個：實,實,0.8547,0.3479,市場利率實質走升
580,1323.0,1326.9,00:22:03.000 --> 00:22:06.900,低信心詞 1 個：信,信,0.821,0.1005,信輝手握近15億豐沛現金的
